,Job,Credit amount,Duration,Housing_free,Housing_own,Housing_rent,Saving accounts_little,Saving accounts_moderate,Saving accounts_quite rich,Saving accounts_rich,Checking account_little,Checking account_moderate,Checking account_rich,Purpose_business,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Risk_good,Age_cat
0,2,7.063903961472068,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3
1,2,8.691314551644853,48,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,1,7.647786045440933,12,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
3,2,8.97233695775495,42,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2
4,2,8.490849216076635,24,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
5,1,9.111072370317514,36,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
6,2,7.949797216161852,24,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2
7,3,8.846209127360996,36,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
8,1,8.025843344150903,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3
9,3,8.562931083090092,30,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
10,2,7.166265974133638,12,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
11,2,8.36822903827628,48,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12,2,7.356918242356021,12,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
13,1,7.089243155027514,24,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
14,2,7.246368080102461,15,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
15,1,7.156176637480615,24,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
16,2,7.793174347189205,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
17,2,8.996156562033445,30,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
18,3,9.439784035838873,24,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2
19,2,8.140315540159985,24,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
20,2,7.665753431861699,9,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
21,2,7.881182202227102,6,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2
22,1,7.714677473800927,10,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2
23,2,7.4977617006225685,12,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2
24,2,7.634820677745543,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
25,1,7.2254814727822945,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2
26,1,6.054439346269371,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
27,2,6.013715156042802,12,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2
28,2,7.789454566086673,7,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
29,2,8.829958044235482,60,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
30,2,7.556427969440253,18,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2
31,2,8.299037181613066,24,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
32,2,8.676928249537397,18,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
33,1,7.142036574706803,12,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2
34,3,7.295735072749282,12,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
35,1,8.465057436995709,45,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
36,2,8.71768205216564,48,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
37,2,7.649692623711514,18,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2
38,2,7.110696122978827,10,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2
39,2,6.126869184114185,9,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
40,3,7.75491027202143,30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
41,2,7.05444965813294,12,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1
42,1,8.73294952429643,18,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2
43,2,8.73020559553099,30,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
44,1,8.723068501163928,48,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
45,3,7.239214973779806,11,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
46,2,7.740229524763182,36,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2
47,0,7.20934025660291,6,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
48,1,8.885717651712119,11,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
49,2,7.636752112435779,12,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
50,1,7.75491027202143,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
51,3,8.693664334532016,27,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
52,2,7.140453043101158,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
